               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.025201,            0.003457,                   0,             0.71535,              0.9189,             0.77176,             0.48788,             0.02243,           0.0026994,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.025391,           0.0035506,                   0,             0.71294,             0.92815,             0.77455,             0.50879,            0.022033,           0.0026148,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.024539,           0.0033358,                   0,             0.73181,             0.91093,             0.77512,              0.5064,            0.022063,           0.0026229,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.024897,           0.0034488,                   0,             0.72051,             0.93504,             0.77984,             0.50794,            0.021746,           0.0026018,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.025064,           0.0034084,                   0,             0.72109,             0.92815,             0.77757,             0.50633,            0.021898,           0.0025966,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.024981,           0.0035063,                   0,             0.73028,              0.9247,              0.7793,              0.5006,            0.021712,           0.0026264,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.024663,           0.0033316,                   0,             0.72384,             0.94164,              0.7839,             0.50548,            0.022339,           0.0025748,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025661,           0.0034584,                   0,             0.71423,             0.90551,             0.76545,             0.50717,            0.022027,           0.0027182,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024105,           0.0033053,                   0,             0.73227,              0.9355,             0.78643,             0.49935,            0.022026,           0.0025861,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.024936,           0.0033601,                   0,             0.71705,             0.93406,             0.77659,             0.50926,            0.021646,           0.0025773,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024434,           0.0033138,                   0,             0.72451,             0.93258,             0.78381,             0.50559,             0.02147,            0.002614,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025022,           0.0032506,                   0,             0.72182,             0.94488,             0.78785,             0.52226,            0.021171,           0.0025345,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024871,            0.003252,                   0,             0.71565,             0.93388,             0.78509,             0.51684,            0.021238,           0.0025909,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025219,           0.0031957,                   0,              0.7254,             0.93602,             0.78175,             0.51838,            0.021337,            0.002538,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023616,           0.0033155,                   0,             0.73406,             0.93012,              0.7889,             0.52267,            0.020976,           0.0025392,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023926,           0.0034982,                   0,             0.73384,               0.943,             0.79373,             0.53164,            0.020717,           0.0025202,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.02499,           0.0032982,                   0,             0.73008,             0.93311,             0.78534,             0.52556,            0.021025,           0.0025471,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024543,           0.0032938,                   0,             0.72823,             0.93258,             0.78432,             0.52436,            0.020989,           0.0025674,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.024073,           0.0031539,                   0,             0.72579,              0.9498,             0.79086,             0.53125,            0.020985,           0.0025181,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023563,           0.0033799,                   0,             0.72788,             0.94144,             0.79063,             0.53311,            0.020865,           0.0024903,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.024019,           0.0033718,                   0,             0.73467,              0.9375,             0.79039,             0.53656,            0.020597,           0.0024838,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023391,           0.0033844,                   0,             0.72636,             0.94446,              0.7881,             0.52809,            0.020804,           0.0024946,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022982,           0.0031781,                   0,             0.72772,              0.9444,             0.79485,               0.543,             0.02034,            0.002494,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023788,           0.0031682,                   0,             0.73765,             0.94091,             0.78845,             0.52614,            0.020573,           0.0025014,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022756,           0.0033418,                   0,              0.7351,             0.93272,             0.79173,             0.53907,            0.020387,           0.0024924,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.022873,            0.003102,                   0,              0.7345,             0.93898,             0.79793,             0.54729,            0.020259,           0.0024877,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.023008,           0.0032373,                   0,             0.73909,             0.93258,             0.79975,             0.53951,            0.020333,           0.0024904,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023387,           0.0031726,                   0,             0.73029,             0.94476,             0.79888,             0.54383,            0.020139,           0.0024792,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.023179,           0.0032741,                   0,             0.73455,             0.94373,             0.79741,             0.54976,            0.020133,           0.0024643,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023081,           0.0032739,                   0,             0.73459,             0.94663,              0.8003,             0.55193,            0.020031,           0.0024513,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023326,           0.0032388,                   0,             0.73464,             0.94242,              0.7976,             0.54445,            0.019797,           0.0024643,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021929,           0.0031983,                   0,             0.73578,             0.94424,             0.80294,             0.55783,            0.019704,           0.0024398,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022732,           0.0032276,                   0,             0.74348,             0.93994,             0.80128,             0.56248,            0.019439,           0.0024276,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.022296,           0.0032316,                   0,             0.74196,             0.94144,             0.80398,             0.56123,            0.019369,           0.0024345,                   0,             0.00307,             0.00307,             0.00307
                  72,              0.0218,           0.0032382,                   0,             0.73348,              0.9494,             0.80486,             0.56779,            0.019243,           0.0024287,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021932,           0.0031088,                   0,              0.7355,             0.93652,              0.7986,             0.55727,            0.019453,           0.0024454,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.021869,           0.0031379,                   0,             0.73534,             0.94488,             0.80357,             0.56332,            0.019527,           0.0024238,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022053,           0.0030304,                   0,              0.7385,              0.9381,             0.80905,             0.57348,             0.01901,           0.0024005,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.022536,           0.0031204,                   0,             0.74618,             0.93652,             0.80894,             0.56548,            0.019233,              0.0024,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.021988,           0.0031636,                   0,             0.73553,             0.94783,             0.80603,             0.56742,            0.019144,           0.0023977,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021629,            0.003009,                   0,             0.73643,             0.95472,             0.80904,             0.56947,             0.01901,           0.0024032,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021227,            0.003177,                   0,             0.74705,             0.93996,             0.80523,             0.56794,            0.019225,           0.0023934,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.021643,           0.0031506,                   0,             0.74195,             0.94833,              0.8092,              0.5751,            0.018768,           0.0023876,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021143,           0.0031794,                   0,             0.73825,             0.94522,             0.80398,             0.57092,            0.018968,           0.0023906,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.02121,            0.003036,                   0,             0.74355,             0.95032,             0.81146,             0.57309,            0.018776,            0.002396,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020635,           0.0032005,                   0,             0.74087,             0.95395,             0.80998,               0.576,             0.01856,           0.0023785,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.021034,           0.0029598,                   0,             0.73921,             0.94537,             0.80842,             0.57384,             0.01863,           0.0023821,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021229,           0.0030079,                   0,             0.74292,             0.94716,             0.81359,             0.58436,            0.018396,           0.0023657,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021307,           0.0029587,                   0,             0.74758,             0.94685,              0.8122,             0.58226,            0.018287,           0.0023578,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.020559,           0.0031184,                   0,             0.74271,             0.95522,             0.81507,             0.58357,            0.018405,           0.0023575,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.021409,           0.0030438,                   0,             0.74398,             0.95079,              0.8158,             0.58726,            0.018306,           0.0023524,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020124,           0.0029524,                   0,              0.7461,             0.94783,             0.81325,             0.58606,            0.018249,            0.002346,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.020017,           0.0029685,                   0,             0.74921,             0.94387,             0.81273,             0.58022,            0.018091,           0.0023545,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.020532,           0.0029554,                   0,              0.7426,              0.9527,             0.81219,             0.58208,            0.018266,           0.0023491,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.02064,            0.002905,                   0,             0.74423,              0.9498,             0.81494,             0.58835,            0.018107,           0.0023312,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.020629,           0.0029791,                   0,             0.74315,             0.95571,             0.81325,             0.58989,            0.017998,           0.0023323,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019504,           0.0028766,                   0,             0.74903,             0.94441,              0.8153,             0.59125,            0.017922,            0.002328,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.019745,           0.0030548,                   0,              0.7489,             0.95079,             0.81507,             0.59099,            0.017878,           0.0023225,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019852,           0.0031523,                   0,             0.75185,             0.94439,             0.81667,             0.59351,            0.017923,           0.0023187,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.019843,           0.0029485,                   0,              0.7489,              0.9439,             0.81644,             0.59417,            0.017845,           0.0023223,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.019635,           0.0028497,                   0,             0.74883,             0.94537,             0.81528,               0.595,            0.017798,           0.0023147,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.020213,           0.0029243,                   0,             0.74668,              0.9498,              0.8152,             0.59551,             0.01769,           0.0023104,                   0,            0.000298,            0.000298,            0.000298
